,Species,Total,port,Year
0,"Anchovy, northern",95,Morro Bay,2019
1,"Bonito, Pacific",311,Morro Bay,2019
2,Cabezon,"26,248",Morro Bay,2019
3,"Fish, unspecified",3,Morro Bay,2019
4,"Flounder, arrowtooth",14,Morro Bay,2019
5,"Flounder, starry",43,Morro Bay,2019
6,"Flounder, unspecified",1,Morro Bay,2019
7,"Greenling, kelp","1,907",Morro Bay,2019
8,"Greenling, rock",11,Morro Bay,2019
9,Grenadier,"3,045",Morro Bay,2019
10,"Hagfish, Pacific","390,504",Morro Bay,2019
11,"Halibut, California","26,320",Morro Bay,2019
12,Lingcod,"21,456",Morro Bay,2019
13,"Lizardfish, California",8,Morro Bay,2019
14,"Mackerel, jack",80,Morro Bay,2019
15,"Mackerel, Pacific",46,Morro Bay,2019
16,"Mackerel, unspecified",12,Morro Bay,2019
17,Opah,"2,872",Morro Bay,2019
18,"Prickleback, monkeyface",28,Morro Bay,2019
19,"Ray, bat",20,Morro Bay,2019
20,"Rockfish, aurora",75,Morro Bay,2019
21,"Rockfish, black",133,Morro Bay,2019
22,"Rockfish, black-and-","20,387",Morro Bay,2019
23,"Rockfish, blackgill","11,236",Morro Bay,2019
24,"Rockfish, blue","4,775",Morro Bay,2019
25,"Rockfish, bocaccio","3,046",Morro Bay,2019
26,"Rockfish, brown","24,515",Morro Bay,2019
27,"Rockfish, canary","2,189",Morro Bay,2019
28,"Rockfish, chilipepper",96,Morro Bay,2019
29,"Rockfish, China",145,Morro Bay,2019
30,"Rockfish, copper","2,979",Morro Bay,2019
31,"Rockfish, gopher","40,373",Morro Bay,2019
32,"Rockfish, grass","12,330",Morro Bay,2019
33,"Rockfish, greenblotched",2,Morro Bay,2019
34,"Rockfish, greenspotted",23,Morro Bay,2019
35,"Rockfish, group bolina",136,Morro Bay,2019
36,"Rockfish, group gopher",87,Morro Bay,2019
37,"Rockfish, group red",8,Morro Bay,2019
38,"Rockfish, kelp","1,050",Morro Bay,2019
39,"Rockfish, olive",380,Morro Bay,2019
40,"Rockfish, quillback",2,Morro Bay,2019
41,"Rockfish, rosy",25,Morro Bay,2019
42,"Rockfish, speckled",160,Morro Bay,2019
43,"Rockfish, starry",349,Morro Bay,2019
44,"Rockfish, treefish","4,651",Morro Bay,2019
45,"Rockfish, vermilion","24,735",Morro Bay,2019
46,"Rockfish, widow",38,Morro Bay,2019
47,"Rockfish, yellowtail",814,Morro Bay,2019
48,Sablefish,"317,465",Morro Bay,2019
49,Salmon,"5,646",Morro Bay,2019
50,"Salmon, Chinook","339,187",Morro Bay,2019
51,"Salmon, Roe (Chinook,",316,Morro Bay,2019
52,"Sardine, Pacific",405,Morro Bay,2019
53,"Seabass, white","2,139",Morro Bay,2019
54,"Shark, leopard",7,Morro Bay,2019
55,"Shark, Pacific angel",161,Morro Bay,2019
56,"Shark, sevengill",149,Morro Bay,2019
57,"Shark, shortfin mako","1,993",Morro Bay,2019
58,"Shark, soupfin",614,Morro Bay,2019
59,"Barracuda, California",138,Morro Bay,2018
60,"Bass, striped",14,Morro Bay,2018
61,"Bonito, Pacific",7,Morro Bay,2018
62,Cabezon,"20,356",Morro Bay,2018
63,"Flounder, arrowtooth",5,Morro Bay,2018
64,"Flounder, starry",44,Morro Bay,2018
65,"Flounder, unspecified",12,Morro Bay,2018
66,"Greenling, kelp","1,964",Morro Bay,2018
67,Grenadier,"6,868",Morro Bay,2018
68,"Hagfish, Pacific","188,239",Morro Bay,2018
69,"Hagfish, unspecified","225,572",Morro Bay,2018
70,"Halibut, California","31,949",Morro Bay,2018
71,"Halibut, unspecified",25,Morro Bay,2018
72,Lingcod,"29,650",Morro Bay,2018
73,"Mackerel, Pacific",9,Morro Bay,2018
74,"Mackerel, unspecified",8,Morro Bay,2018
75,Opah,"7,708",Morro Bay,2018
76,"Prickleback, monkeyface",18,Morro Bay,2018
77,"Rockfish, aurora",184,Morro Bay,2018
78,"Rockfish, bank","4,856",Morro Bay,2018
79,"Rockfish, black",502,Morro Bay,2018
80,"Rockfish, black-and-yellow","19,792",Morro Bay,2018
81,"Rockfish, blackgill","17,065",Morro Bay,2018
82,"Rockfish, blue","8,348",Morro Bay,2018
83,"Rockfish, bocaccio","17,357",Morro Bay,2018
84,"Rockfish, brown","26,917",Morro Bay,2018
85,"Rockfish, canary","1,738",Morro Bay,2018
86,"Rockfish, chilipepper",787,Morro Bay,2018
87,"Rockfish, China",145,Morro Bay,2018
88,"Rockfish, copper","3,635",Morro Bay,2018
89,"Rockfish, cowcod",48,Morro Bay,2018
90,"Rockfish, darkblotched",7,Morro Bay,2018
91,"Rockfish, flag",21,Morro Bay,2018
92,"Rockfish, gopher","43,364",Morro Bay,2018
93,"Rockfish, grass","10,586",Morro Bay,2018
94,"Rockfish, greenspotted",30,Morro Bay,2018
95,"Rockfish, greenstriped",10,Morro Bay,2018
96,"Rockfish, group red",544,Morro Bay,2018
97,"Rockfish, group shelf",20,Morro Bay,2018
98,"Rockfish, kelp",961,Morro Bay,2018
99,"Rockfish, Mexican",16,Morro Bay,2018
100,"Rockfish, olive",265,Morro Bay,2018
101,"Rockfish, quillback",6,Morro Bay,2018
102,"Rockfish, redbanded",2,Morro Bay,2018
103,"Rockfish, rosethorn",1,Morro Bay,2018
104,"Rockfish, rosy",2,Morro Bay,2018
105,"Rockfish, rougheye",13,Morro Bay,2018
106,"Rockfish, shortbelly",3,Morro Bay,2018
107,"Rockfish, speckled",193,Morro Bay,2018
108,"Rockfish, splitnose","4,572",Morro Bay,2018
109,"Rockfish, squarespot",2,Morro Bay,2018
110,"Rockfish, starry",142,Morro Bay,2018
111,"Rockfish, stripetail",305,Morro Bay,2018
112,"Rockfish, treefish","4,260",Morro Bay,2018
113,"Rockfish, unspecified",140,Morro Bay,2018
114,"Rockfish, vermilion","27,135",Morro Bay,2018
115,"Barracuda, California",462,Morro Bay,2013
116,Butterfish (Pacific pompano),39,Morro Bay,2013
117,Cabezon,"31,792",Morro Bay,2013
118,"Croaker, white",68,Morro Bay,2013
119,"Eel, monkeyface (prickleback)",64,Morro Bay,2013
120,"Flounder, arrowtooth",4,Morro Bay,2013
121,"Flounder, starry",938,Morro Bay,2013
122,"Flounder, unspecified",38,Morro Bay,2013
123,"Greenling, kelp","4,876",Morro Bay,2013
124,Grenadier,"51,336",Morro Bay,2013
125,Hagfishes,"517,108",Morro Bay,2013
126,"Halibut, California","12,090",Morro Bay,2013
127,Jacksmelt,682,Morro Bay,2013
128,Lingcod,"36,614",Morro Bay,2013
129,"Lizardfish, California",15,Morro Bay,2013
130,Louvar,52,Morro Bay,2013
131,Opah,"3,380",Morro Bay,2013
132,"Pomfret, Pacific",30,Morro Bay,2013
133,"Ray, bat",34,Morro Bay,2013
134,"Rockfish, China",261,Morro Bay,2013
135,"Rockfish, Mexican",7,Morro Bay,2013
136,"Rockfish, Pacific ocean perch",1,Morro Bay,2013
137,"Rockfish, aurora","3,438",Morro Bay,2013
138,"Rockfish, bank","65,406",Morro Bay,2013
139,"Rockfish, black-and-yellow","15,903",Morro Bay,2013
140,"Rockfish, black","2,561",Morro Bay,2013
141,"Rockfish, blackgill","42,050",Morro Bay,2013
142,"Rockfish, blue","1,185",Morro Bay,2013
143,"Rockfish, bocaccio","2,296",Morro Bay,2013
144,"Rockfish, brown","48,855",Morro Bay,2013
145,"Rockfish, canary",17,Morro Bay,2013
146,"Rockfish, chilipepper","11,585",Morro Bay,2013
147,"Rockfish, copper","3,569",Morro Bay,2013
148,"Rockfish, cowcod",61,Morro Bay,2013
149,"Rockfish, darkblotched",215,Morro Bay,2013
150,"Rockfish, flag",2,Morro Bay,2013
151,"Rockfish, gopher","40,253",Morro Bay,2013
152,"Rockfish, grass","11,744",Morro Bay,2013
153,"Rockfish, group bolina",12,Morro Bay,2013
154,"Rockfish, group red",119,Morro Bay,2013
155,"Rockfish, group shelf",295,Morro Bay,2013
156,"Rockfish, group slope",445,Morro Bay,2013
157,"Rockfish, kelp",893,Morro Bay,2013
158,"Rockfish, olive",74,Morro Bay,2013
159,"Rockfish, pink",1,Morro Bay,2013
160,"Rockfish, quillback",22,Morro Bay,2013
161,"Rockfish, redbanded",199,Morro Bay,2013
162,"Rockfish, rosy",3,Morro Bay,2013
163,"Rockfish, speckled",3,Morro Bay,2013
164,"Rockfish, splitnose","4,831",Morro Bay,2013
165,"Rockfish, starry",58,Morro Bay,2013
166,"Rockfish, treefish","2,602",Morro Bay,2013
167,"Rockfish, unspecified",11,Morro Bay,2013
168,"Rockfish, vermilion","17,997",Morro Bay,2013
169,"Rockfish, widow",28,Morro Bay,2013
170,"Rockfish, yellowtail",629,Morro Bay,2013
171,Sablefish,"722,079",Morro Bay,2013
172,"Salmon, Chinook","68,625",Morro Bay,2013
173,"Sanddab, Pacific",3,Morro Bay,2013
174,Sanddab,2,Morro Bay,2013
175,"Scorpionfish, California",46,Morro Bay,2013
176,"Seabass, white","1,801",Morro Bay,2013
177,"Shark, Pacific angel",167,Morro Bay,2013
178,"Shark, blue",10,Morro Bay,2013
179,"Shark, leopard",63,Morro Bay,2013
180,"Shark, sevengill",399,Morro Bay,2013
181,"Shark, shortfin mako","4,875",Morro Bay,2013
182,"Shark, sixgill",9,Morro Bay,2013
183,"Shark, soupfin",207,Morro Bay,2013
184,"Shark, spiny dogfish",24,Morro Bay,2013
185,"Shark, swell",24,Morro Bay,2013
186,"Shark, thresher","1,491",Morro Bay,2013
187,"Barracuda, California",407,Morro Bay,2012
188,Butterfish (Pacific pompano),406,Morro Bay,2012
189,Cabezon,"31,638",Morro Bay,2012
190,"Croaker, white",764,Morro Bay,2012
191,"Eel, monkeyface (prickleback)",35,Morro Bay,2012
192,"Fish, unspecified",1,Morro Bay,2012
193,"Flounder, arrowtooth",2,Morro Bay,2012
194,"Flounder, starry","1,278",Morro Bay,2012
195,"Flounder, unspecified",55,Morro Bay,2012
196,"Greenling, kelp","4,424",Morro Bay,2012
197,Grenadier,"47,857",Morro Bay,2012
198,"Guitarfish, shovelnose",243,Morro Bay,2012
199,Hagfishes,"349,892",Morro Bay,2012
200,"Halibut, California","9,452",Morro Bay,2012
201,Kelpfishes,15,Morro Bay,2012
202,Lingcod,"30,949",Morro Bay,2012
203,"Lizardfish, California","1,664",Morro Bay,2012
204,Louvar,845,Morro Bay,2012
205,"Mackerel, Pacific",11,Morro Bay,2012
206,Opah,"9,236",Morro Bay,2012
207,"Pomfret, Pacific",27,Morro Bay,2012
208,"Rockfish, China",147,Morro Bay,2012
209,"Rockfish, Mexican",1,Morro Bay,2012
210,"Rockfish, Pacific ocean perch",2,Morro Bay,2012
211,"Rockfish, aurora","1,708",Morro Bay,2012
212,"Rockfish, bank","18,773",Morro Bay,2012
213,"Rockfish, black-and-yellow","16,735",Morro Bay,2012
214,"Rockfish, black","1,157",Morro Bay,2012
215,"Rockfish, blackgill","87,331",Morro Bay,2012
216,"Rockfish, blue",220,Morro Bay,2012
217,"Rockfish, bocaccio","1,542",Morro Bay,2012
218,"Rockfish, bronzespotted",36,Morro Bay,2012
219,"Rockfish, brown","49,099",Morro Bay,2012
220,"Rockfish, chilipepper","19,490",Morro Bay,2012
221,"Rockfish, copper","2,147",Morro Bay,2012
222,"Rockfish, cowcod",34,Morro Bay,2012
