,year,month,water_temp,Station
0,2000.0,April,56.21666666666666,Monterey
1,2000.0,August,57.32404542920848,Monterey
2,2000.0,December,54.7024386845039,Monterey
3,2000.0,February,55.13542363433668,Monterey
4,2000.0,January,53.606870122630994,Monterey
5,2000.0,July,58.71706762440458,Monterey
6,2000.0,June,57.40984671125976,Monterey
7,2000.0,March,55.63285256410256,Monterey
8,2000.0,May,56.37037916793352,Monterey
9,2000.0,November,54.54070512820513,Monterey
10,2000.0,October,58.804176620480966,Monterey
11,2000.0,September,59.44553372352285,Monterey
12,2001.0,April,45.82635236140671,Monterey
13,2001.0,August,48.35958434681261,Monterey
14,2001.0,December,45.35346989966555,Monterey
15,2001.0,February,53.047916666666666,Monterey
16,2001.0,January,54.13677536231884,Monterey
17,2001.0,July,49.03029542920847,Monterey
18,2001.0,June,48.61452062430323,Monterey
19,2001.0,March,55.28949275362319,Monterey
20,2001.0,May,47.086615105908585,Monterey
21,2001.0,November,48.02806577480491,Monterey
22,2001.0,October,48.61939102564103,Monterey
23,2001.0,September,48.561920416539984,Monterey
24,2002.0,April,49.704691142191145,Monterey
25,2002.0,August,59.37746281464531,Monterey
26,2002.0,December,56.461300909235696,Monterey
27,2002.0,February,44.63717948717949,Monterey
28,2002.0,January,44.82532051282051,Monterey
29,2002.0,July,56.78060797897755,Monterey
30,2002.0,June,55.37952432070853,Monterey
31,2002.0,March,45.43333333333333,Monterey
32,2002.0,May,55.860458148830574,Monterey
33,2002.0,November,55.37929865043423,Monterey
34,2002.0,October,57.793839188993466,Monterey
35,2002.0,September,58.45744704570792,Monterey
36,2003.0,April,54.96104574773052,Monterey
37,2003.0,August,60.85573439241917,Monterey
38,2003.0,December,55.67613319651363,Monterey
39,2003.0,February,55.80592948717948,Monterey
40,2003.0,January,56.44814659977703,Monterey
41,2003.0,July,57.273878205128206,Monterey
42,2003.0,June,56.70169314381271,Monterey
43,2003.0,March,56.113220040828736,Monterey
44,2003.0,May,56.96512427789602,Monterey
45,2003.0,November,57.28109173435261,Monterey
46,2003.0,October,55.75273132664437,Monterey
47,2003.0,September,61.421957028478765,Monterey
48,2004.0,April,55.68563963210703,Monterey
49,2004.0,August,59.904072286409246,Monterey
50,2004.0,December,55.22316116854161,Monterey
51,2004.0,February,53.79752331002331,Monterey
52,2004.0,January,54.39711665146448,Monterey
53,2004.0,July,58.62881384919429,Monterey
54,2004.0,June,55.533368171683385,Monterey
55,2004.0,March,55.72965440356745,Monterey
56,2004.0,May,56.81185264011352,Monterey
57,2004.0,November,58.22952898550725,Monterey
58,2004.0,October,57.95300306577481,Monterey
59,2004.0,September,59.5686872909699,Monterey
60,2005.0,April,56.11588075889278,Monterey
61,2005.0,August,58.80886736737709,Monterey
62,2005.0,December,53.946293321793895,Monterey
63,2005.0,February,56.79560340022296,Monterey
64,2005.0,January,56.14107441471572,Monterey
65,2005.0,July,58.66246305804171,Monterey
66,2005.0,June,56.81051864801865,Monterey
67,2005.0,March,58.5637377115638,Monterey
68,2005.0,May,59.3699104309676,Monterey
69,2005.0,November,55.69210743966179,Monterey
70,2005.0,October,55.891973787082485,Monterey
71,2005.0,September,59.36205026920702,Monterey
