datetime,PRCP_Eureka,PRCP_SantaCruz,PRCP_SantaMaria,PRCP_LosAngeles,PRCP_SanDiego
2000-01-01,0.28,0.28,0.0,0.0,0.03
2000-01-02,0.23,0.23,0.0,0.0,0.0
2000-01-03,0.0,0.0,0.0,0.0,0.0
2000-01-04,0.39,0.39,0.0,0.0,0.0
2000-01-05,0.0,0.0,0.0,0.0,0.0
2000-01-06,0.1,0.1,0.0,0.0,0.0
2000-01-07,0.02,0.02,0.0,0.0,0.0
2000-01-08,0.04,0.04,0.0,0.0,0.0
2000-01-09,0.1,0.1,0.0,0.0,0.0
2000-01-10,0.77,0.77,0.0,0.0,0.0
2000-01-11,0.4,0.4,0.0,0.0,0.0
2000-01-12,0.03,0.03,0.0,0.0,0.0
2000-01-13,0.79,0.79,0.0,0.0,0.0
2000-01-14,1.89,1.89,0.0,0.0,0.0
2000-01-15,1.18,1.18,0.0,0.0,0.0
2000-01-16,0.42,0.42,0.19,0.0,0.03
2000-01-17,0.0,0.0,0.15,0.03,0.0
2000-01-18,0.12,0.12,0.05,0.0,0.0
2000-01-19,0.79,0.79,0.03,0.0,0.0
2000-01-20,0.09,0.09,0.02,0.0,0.0
2000-01-21,0.21,0.21,0.0,0.0,0.0
2000-01-22,0.03,0.03,0.0,0.0,0.0
2000-01-23,0.45,0.45,0.41,0.02,0.0
2000-01-24,0.04,0.04,0.26,0.01,0.0
2000-01-25,0.21,0.21,0.33,0.48,0.01
2000-02-01,0.0,0.0,0.0,0.0,0.0
2000-02-02,0.0,0.0,0.0,0.0,0.0
2000-02-03,0.01,0.01,0.27,0.0,0.0
2000-02-04,0.0,0.0,0.03,0.0,0.0
2000-02-05,0.67,0.67,0.0,0.0,0.02
2000-02-06,0.0,0.0,0.0,0.0,0.0
2000-02-07,0.0,0.0,0.01,0.0,0.0
2000-02-08,0.02,0.02,0.0,0.0,0.0
2000-02-09,0.03,0.03,0.0,0.0,0.0
2000-02-10,0.07,0.07,0.51,0.49,0.11
